Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,Money Lost,Non Defaulter,MoneyLOST,E
1403,17.61,39.19%,0.009,10.708641,0.991,0,0.096377769
1404,21.86,36.64%,0.0097,13.850496,0.9903,0,0.134349811
1405,24.57,26.28%,0.0049,18.113004,0.9951,0,0.08875372
1406,10.85,0.92%,0.0049,10.75018,0.9951,0,0.052675882
1407,13.63,19.58%,0.0063,10.961246,0.9937,0,0.06905585
1408,18.8,22.52%,0.0049,14.56624,0.9951,0,0.071374576
1409,7.65,12.63%,0.0005,6.683805,0.9995,0,0.003341903
1410,23.73,20.39%,0.0028,18.891453,0.9972,0,0.052896068
1411,21.37,39.74%,0.0099,12.877562,0.9901,0,0.127487864
1412,4.51,17.59%,0.0074,3.716691,0.9926,0,0.027503513
1413,10.8,33.62%,0.0035,7.16904,0.9965,0,0.02509164
1414,7.6,19.04%,0.0061,6.15296,0.9939,0,0.037533056
1415,8.34,30.70%,0.0072,5.77962,0.9928,0,0.041613264
1416,23.57,28.94%,0.0053,16.748842,0.9947,0,0.088768863
1417,9.62,29.70%,0.0031,6.76286,0.9969,0,0.020964866
1418,3.98,38.93%,0.0013,2.430586,0.9987,0,0.003159762
1419,13.36,16.03%,0.0082,11.218392,0.9918,0,0.091990814
1420,12.96,14.29%,0.0003,11.108016,0.9997,0,0.003332405
1421,12.61,3.44%,0.0074,12.176216,0.9926,0,0.090103998
1422,15.13,13.33%,0.0063,13.113171,0.9937,0,0.082612977
1423,7.9,2.38%,0.0016,7.71198,0.9984,0,0.012339168
1424,0.55,6.93%,0.0014,0.511885,0.9986,0,0.000716639
1425,0.17,37.47%,0.0051,0.106301,0.9949,0,0.000542135
1426,24.6,17.59%,0.0008,20.27286,0.9992,0,0.016218288
1427,16.07,12.76%,0.0015,14.019468,0.9985,0,0.021029202
1428,13.34,39.85%,0.0048,8.02401,0.9952,0,0.038515248
1429,23.71,27.18%,0.0072,17.265622,0.9928,0,0.124312478
1430,9.2,17.75%,0.009,7.567,0.991,0,0.068103
1431,15.95,33.44%,0.0049,10.61632,0.9951,0,0.052019968
1432,8.24,30.63%,0,5.716088,1,0,0
1433,17.99,18.41%,0.01,14.678041,0.99,0,0.14678041
1434,17.3,7.50%,0.0072,16.0025,0.9928,0,0.115218
1435,23.76,35.75%,0.0095,15.2658,0.9905,0,0.1450251
1436,14.97,25.29%,0.0087,11.184087,0.9913,0,0.097301557
1437,23.68,21.85%,0.0085,18.50592,0.9915,0,0.15730032
1438,2.76,23.60%,0.007,2.10864,0.993,0,0.01476048
1439,24.52,34.41%,0.0054,16.082668,0.9946,0,0.086846407
1440,20.41,18.25%,0.0047,16.685175,0.9953,0,0.078420323
1441,15.31,24.03%,0.0071,11.631007,0.9929,0,0.08258015
1442,24.18,26.98%,0.0081,17.656236,0.9919,0,0.143015512
1443,20.45,18.51%,0.0043,16.664705,0.9957,0,0.071658232
1444,10.2,2.87%,0.0021,9.90726,0.9979,0,0.020805246
1445,9.63,33.23%,0.0097,6.429951,0.9903,0,0.062370525
1446,6.19,24.21%,0.0013,4.691401,0.9987,0,0.006098821
1447,6.59,7.72%,0.0042,6.081252,0.9958,0,0.025541258
1448,20.51,38.81%,0.0003,12.550069,0.9997,0,0.003765021
1449,9.73,31.94%,0.0075,6.622238,0.9925,0,0.049666785
1450,24.84,6.92%,0.0089,23.121072,0.9911,0,0.205777541
1451,8.1,22.26%,0.0037,6.29694,0.9963,0,0.023298678
1452,7.86,27.43%,0.002,5.704002,0.998,0,0.011408004
1453,23.03,33.11%,0.0022,15.404767,0.9978,0,0.033890487
1454,8.5,39.67%,0.0011,5.12805,0.9989,0,0.005640855
1455,18.44,25.23%,0.0046,13.787588,0.9954,0,0.063422905
1456,18.79,37.99%,0.0023,11.651679,0.9977,0,0.026798862
1457,15.05,34.32%,0.0045,9.88484,0.9955,0,0.04448178
1458,24.75,39.19%,0.0072,15.050475,0.9928,0,0.10836342
1459,15.85,31.33%,0.0049,10.884195,0.9951,0,0.053332556
1460,1.56,9.33%,0.0023,1.414452,0.9977,0,0.00325324
1461,9.87,7.61%,0.0005,9.118893,0.9995,0,0.004559447
1462,6.99,14.94%,0.0018,5.945694,0.9982,0,0.010702249
1463,0.09,36.58%,0.0081,0.057078,0.9919,0,0.000462332
1464,1.47,20.42%,0.0095,1.169826,0.9905,0,0.011113347
1465,17.5,15.88%,0.0008,14.721,0.9992,0,0.0117768
1466,4.84,15.86%,0.0043,4.072376,0.9957,0,0.017511217
1467,8.94,15.95%,0.0026,7.51407,0.9974,0,0.019536582
1468,4.72,39.33%,0.0002,2.863624,0.9998,0,0.000572725
1469,9.39,12.79%,0.0047,8.189019,0.9953,0,0.038488389
1470,4.45,18.22%,0.0051,3.63921,0.9949,0,0.018559971
1471,6.65,22.68%,0.0064,5.14178,0.9936,0,0.032907392
1472,4.99,24.73%,0.0076,3.755973,0.9924,0,0.028545395
1473,3.63,21.74%,0.006,2.840838,0.994,0,0.017045028
1474,22,36.74%,0.0091,13.9172,0.9909,0,0.12664652
1475,17.72,35.14%,0.0045,11.493192,0.9955,0,0.051719364
1476,5.28,23.95%,0.0027,4.01544,0.9973,0,0.010841688
1477,22.27,20.04%,0.0094,17.807092,0.9906,0,0.167386665
1478,4.81,21.37%,0.0028,3.782103,0.9972,0,0.010589888
1479,12.36,34.35%,0.0077,8.11434,0.9923,0,0.062480418
1480,5.24,3.44%,0.0073,5.059744,0.9927,0,0.036936131
1481,2.29,33.94%,0.0068,1.512774,0.9932,0,0.010286863
1482,8.14,38.12%,0.0011,5.037032,0.9989,0,0.005540735
1483,16.28,7.75%,0.0008,15.0183,0.9992,0,0.01201464
1484,4.1,13.27%,0.0013,3.55593,0.9987,0,0.004622709
1485,19.04,35.15%,0.0035,12.34744,0.9965,0,0.04321604
1486,17.26,3.50%,0.0026,16.6559,0.9974,0,0.04330534
1487,23.78,15.52%,0.0098,20.089344,0.9902,0,0.196875571
1488,12.68,16.31%,0.0007,10.611892,0.9993,0,0.007428324
1489,0.78,25.60%,0.0033,0.58032,0.9967,0,0.001915056
1490,16.71,32.31%,0.0077,11.310999,0.9923,0,0.087094692
1491,6.51,9.17%,0.0011,5.913033,0.9989,0,0.006504336
1492,15.84,7.67%,0.0004,14.625072,0.9996,0,0.005850029
1493,17.47,24.93%,0.0067,13.114729,0.9933,0,0.087868684
1494,16.14,11.57%,0.004,14.272602,0.996,0,0.057090408
1495,0.3,38.49%,0.0025,0.18453,0.9975,0,0.000461325
1496,3.3,16.32%,0.009,2.76144,0.991,0,0.02485296
1497,15.82,19.00%,0.0087,12.8142,0.9913,0,0.11148354
1498,18.78,39.40%,0.0021,11.38068,0.9979,0,0.023899428
1499,22.25,2.77%,0.0054,21.633675,0.9946,0,0.116821845
1500,1.35,35.10%,0.0003,0.87615,0.9997,0,0.000262845
1501,15.39,7.56%,0.0038,14.226516,0.9962,0,0.054060761
1502,10.04,1.39%,0.0064,9.900444,0.9936,0,0.063362842
1503,1.24,8.59%,0.0078,1.133484,0.9922,0,0.008841175
1504,2.81,26.95%,0.001,2.052705,0.999,0,0.002052705
1505,1.21,10.70%,0.0059,1.08053,0.9941,0,0.006375127
1506,13.04,31.09%,0.0042,8.985864,0.9958,0,0.037740629
1507,19.26,21.41%,0.0062,15.136434,0.9938,0,0.093845891
1508,10.47,6.82%,0.0066,9.755946,0.9934,0,0.064389244
1509,4.44,23.95%,0.0021,3.37662,0.9979,0,0.007090902
1510,1.45,3.02%,0.0017,1.40621,0.9983,0,0.002390557
1511,7.86,23.80%,0.0055,5.98932,0.9945,0,0.03294126
1512,13.78,34.11%,0.009,9.079642,0.991,0,0.081716778
1513,11.98,17.67%,0,9.863134,1,0,0
1514,9.05,15.82%,0.0038,7.61829,0.9962,0,0.028949502
1515,15.71,10.25%,0.0077,14.099725,0.9923,0,0.108567883
1516,2.16,18.76%,0.0035,1.754784,0.9965,0,0.006141744
1517,20.41,4.84%,0.0072,19.422156,0.9928,0,0.139839523
1518,5.58,1.44%,0.0077,5.499648,0.9923,0,0.04234729
1519,7.03,4.51%,0.0045,6.712947,0.9955,0,0.030208262
1520,16.73,35.99%,0.0092,10.708873,0.9908,0,0.098521632
1521,16.4,38.54%,0.005,10.07944,0.995,0,0.0503972
1522,24.14,1.01%,0.0024,23.896186,0.9976,0,0.057350846
1523,6.87,23.90%,0.0027,5.22807,0.9973,0,0.014115789
1524,17.19,19.84%,0.0046,13.779504,0.9954,0,0.063385718
1525,2.12,7.70%,0.0054,1.95676,0.9946,0,0.010566504
1526,1.01,37.94%,0.0021,0.626806,0.9979,0,0.001316293
1527,11.48,17.81%,0.0034,9.435412,0.9966,0,0.032080401
1528,3.1,39.77%,0.0056,1.86713,0.9944,0,0.010455928
1529,24.75,39.61%,0.0059,14.946525,0.9941,0,0.088184498
1530,22.4,11.83%,0.0088,19.75008,0.9912,0,0.173800704
1531,10.31,21.57%,0.0085,8.086133,0.9915,0,0.068732131
1532,23.17,14.38%,0.0046,19.838154,0.9954,0,0.091255508
1533,2.93,4.11%,0.0019,2.809577,0.9981,0,0.005338196
1534,15.63,25.34%,0.007,11.669358,0.993,0,0.081685506
1535,14.7,11.09%,0.0086,13.06977,0.9914,0,0.112400022
1536,2.55,23.23%,0.0034,1.957635,0.9966,0,0.006655959
1537,6.13,26.17%,0.0088,4.525779,0.9912,0,0.039826855
1538,21.18,25.89%,0.0007,15.696498,0.9993,0,0.010987549
1539,16.25,3.28%,0.0088,15.717,0.9912,0,0.1383096
1540,8.69,39.10%,0.0066,5.29221,0.9934,0,0.034928586
1541,11.06,28.31%,0.0026,7.928914,0.9974,0,0.020615176
1542,9.4,39.71%,0.0023,5.66726,0.9977,0,0.013034698
1543,17.3,31.76%,0.0015,11.80552,0.9985,0,0.01770828
1544,10.13,21.37%,0.002,7.965219,0.998,0,0.015930438
1545,13.1,21.59%,0.0079,10.27171,0.9921,0,0.081146509
1546,24.26,0.82%,0.0053,24.061068,0.9947,0,0.12752366
1547,5.64,27.74%,0.0003,4.075464,0.9997,0,0.001222639
1548,21.6,18.14%,0.0088,17.68176,0.9912,0,0.155599488
1549,17.49,4.90%,0.0007,16.63299,0.9993,0,0.011643093
1550,9.21,3.50%,0.0099,8.88765,0.9901,0,0.087987735
1551,10.92,26.01%,0.0052,8.079708,0.9948,0,0.042014482
1552,2.9,39.19%,0.003,1.76349,0.997,0,0.00529047
1553,2.61,33.37%,0.0026,1.739043,0.9974,0,0.004521512
1554,6.97,33.87%,0.0085,4.609261,0.9915,0,0.039178719
1555,13.68,4.60%,0.0041,13.05072,0.9959,0,0.053507952
1556,19.47,39.77%,0.0068,11.726781,0.9932,0,0.079742111
1557,8.27,0.61%,0.0025,8.219553,0.9975,0,0.020548883
1558,1.22,24.59%,0.0056,0.920002,0.9944,0,0.005152011
1559,13.27,25.80%,0.0092,9.84634,0.9908,0,0.090586328
1560,2.54,13.22%,0.0044,2.204212,0.9956,0,0.009698533
1561,22.64,25.54%,0.0083,16.857744,0.9917,0,0.139919275
1562,9.17,26.61%,0.0085,6.729863,0.9915,0,0.057203836
1563,12.24,27.66%,0.0062,8.854416,0.9938,0,0.054897379
1564,22.01,9.74%,0.0085,19.866226,0.9915,0,0.168862921
1565,21.43,6.62%,0.0021,20.011334,0.9979,0,0.042023801
1566,22.2,17.92%,0.0017,18.22176,0.9983,0,0.030976992
1567,8.67,29.18%,0.0079,6.140094,0.9921,0,0.048506743
1568,21.46,13.96%,0.0079,18.464184,0.9921,0,0.145867054
1569,11.42,8.84%,0.0071,10.410472,0.9929,0,0.073914351
1570,3.29,37.21%,0.0084,2.065791,0.9916,0,0.017352644
1571,24.34,30.47%,0.0075,16.923602,0.9925,0,0.126927015
1572,0.39,25.16%,0.0017,0.291876,0.9983,0,0.000496189
1573,18.22,36.23%,0.0088,11.618894,0.9912,0,0.102246267
1574,13.81,20.52%,0.0096,10.976188,0.9904,0,0.105371405
1575,14.58,8.55%,0.009,13.33341,0.991,0,0.12000069
1576,13.97,38.14%,0.0087,8.641842,0.9913,0,0.075184025
1577,12.41,23.46%,0.007,9.498614,0.993,0,0.066490298
1578,24.34,2.17%,0.0085,23.811822,0.9915,0,0.202400487
1579,1.56,17.67%,0.0075,1.284348,0.9925,0,0.00963261
1580,15,1.29%,0.0081,14.8065,0.9919,0,0.11993265
1581,22.69,31.45%,0.0081,15.553995,0.9919,0,0.12598736
1582,13.99,21.01%,0.0007,11.050701,0.9993,0,0.007735491
1583,8.75,7.01%,0.0054,8.136625,0.9946,0,0.043937775
1584,5.15,1.77%,0.0081,5.058845,0.9919,0,0.040976645
1585,13.68,29.32%,0.0055,9.669024,0.9945,0,0.053179632
1586,15.35,0.36%,0.0046,15.29474,0.9954,0,0.070355804
1587,24.04,0.64%,0.0097,23.886144,0.9903,0,0.231695597
1588,13.4,8.28%,0.0061,12.29048,0.9939,0,0.074971928
1589,23.44,3.40%,0.0014,22.64304,0.9986,0,0.031700256
1590,15.29,9.35%,0.0089,13.860385,0.9911,0,0.123357427
1591,13.98,6.60%,0.0093,13.05732,0.9907,0,0.121433076
1592,2.11,39.76%,0.0045,1.271064,0.9955,0,0.005719788
1593,23.84,16.23%,0.0098,19.970768,0.9902,0,0.195713526
1594,9.08,2.48%,0.0035,8.854816,0.9965,0,0.030991856
1595,21.85,13.59%,0.0075,18.880585,0.9925,0,0.141604388
1596,13.14,34.85%,0.007,8.56071,0.993,0,0.05992497
1597,12.59,35.14%,0.0002,8.165874,0.9998,0,0.001633175
1598,14.98,3.83%,0.0007,14.406266,0.9993,0,0.010084386
1599,18.42,24.94%,0.0014,13.826052,0.9986,0,0.019356473
1600,21.41,23.06%,0.0099,16.472854,0.9901,0,0.163081255
1601,10.12,0.77%,0.001,10.042076,0.999,0,0.010042076
1602,4.15,4.04%,0.0057,3.98234,0.9943,0,0.022699338
1603,6.67,38.59%,0.0014,4.096047,0.9986,0,0.005734466
1604,24.19,34.73%,0.0041,15.788813,0.9959,0,0.064734133
1605,24.39,17.80%,0.0027,20.04858,0.9973,0,0.054131166
1606,13.4,27.85%,0.0022,9.6681,0.9978,0,0.02126982
1607,16.97,19.61%,0.0017,13.642183,0.9983,0,0.023191711
1608,9.05,18.89%,0.0091,7.340455,0.9909,0,0.066798141
1609,15.81,4.52%,0.0008,15.095388,0.9992,0,0.01207631
1610,18.52,3.40%,0.0017,17.89032,0.9983,0,0.030413544
1611,18.82,38.36%,0.0016,11.600648,0.9984,0,0.018561037
1612,0.69,39.04%,0.0058,0.420624,0.9942,0,0.002439619
1613,16.81,19.78%,0.0053,13.484982,0.9947,0,0.071470405
1614,1.19,36.83%,0.0098,0.751723,0.9902,0,0.007366885
1615,1.54,31.34%,0.008,1.057364,0.992,0,0.008458912
1616,20.42,34.62%,0.0008,13.350596,0.9992,0,0.010680477
1617,20.8,3.20%,0.0028,20.1344,0.9972,0,0.05637632
1618,18.86,29.60%,0.0034,13.27744,0.9966,0,0.045143296
1619,1.42,4.15%,0.0071,1.36107,0.9929,0,0.009663597
1620,16.25,25.98%,0.0081,12.02825,0.9919,0,0.097428825
1621,5.59,25.68%,0.0079,4.154488,0.9921,0,0.032820455
1622,10.1,31.38%,0.005,6.93062,0.995,0,0.0346531
1623,2.09,24.29%,0.0032,1.582339,0.9968,0,0.005063485
1624,6.89,4.81%,0.0052,6.558591,0.9948,0,0.034104673
1625,22.06,18.69%,0.0019,17.936986,0.9981,0,0.034080273
1626,16.75,30.97%,0.0076,11.562525,0.9924,0,0.08787519
1627,2.37,0.61%,0.0046,2.355543,0.9954,0,0.010835498
1628,19.66,24.60%,0.0012,14.82364,0.9988,0,0.017788368
1629,8.24,18.25%,0.0096,6.7362,0.9904,0,0.06466752
1630,7.33,7.35%,0.009,6.791245,0.991,0,0.061121205
1631,0.38,14.30%,0.0065,0.32566,0.9935,0,0.00211679
1632,11.13,31.99%,0.0098,7.569513,0.9902,0,0.074181227
1633,7.72,20.37%,0.0038,6.147436,0.9962,0,0.023360257
1634,3.8,17.97%,0.0089,3.11714,0.9911,0,0.027742546
1635,7.05,15.73%,0.0047,5.941035,0.9953,0,0.027922865
1636,2.27,35.79%,0.0032,1.457567,0.9968,0,0.004664214
1637,14.49,19.32%,0.0012,11.690532,0.9988,0,0.014028638
1638,22.39,11.95%,0.0032,19.714395,0.9968,0,0.063086064
1639,12.29,34.63%,0.0073,8.033973,0.9927,0,0.058648003
1640,8.12,30.48%,0.0019,5.645024,0.9981,0,0.010725546
1641,24.38,14.65%,0.0046,20.80833,0.9954,0,0.095718318
1642,7.3,20.12%,0.0044,5.83124,0.9956,0,0.025657456
1643,10.34,12.71%,0.0046,9.025786,0.9954,0,0.041518616
1644,19.47,35.21%,0.0024,12.614613,0.9976,0,0.030275071
1645,5.23,32.13%,0.0043,3.549601,0.9957,0,0.015263284
1646,24.77,9.92%,0.0019,22.312816,0.9981,0,0.04239435
1647,4.97,4.91%,0.0029,4.725973,0.9971,0,0.013705322
1648,13.54,20.19%,0.0023,10.806274,0.9977,0,0.02485443
1649,14.93,24.00%,0.002,11.3468,0.998,0,0.0226936
1650,9.9,16.69%,0.002,8.24769,0.998,0,0.01649538
1651,21.01,37.11%,0.0012,13.213189,0.9988,0,0.015855827
1652,3.75,2.57%,0.0062,3.653625,0.9938,0,0.022652475
1653,15.01,5.33%,0.0051,14.209967,0.9949,0,0.072470832
1654,3.67,13.09%,0.0076,3.189597,0.9924,0,0.024240937
1655,24.16,18.60%,0.0014,19.66624,0.9986,0,0.027532736
1656,8.66,37.13%,0.0065,5.444542,0.9935,0,0.035389523
1657,15.26,34.01%,0.0005,10.070074,0.9995,0,0.005035037
1658,3.35,39.77%,0.0057,2.017705,0.9943,0,0.011500919
1659,0.02,28.19%,0.0089,0.014362,0.9911,0,0.000127822
1660,3.41,4.41%,0.0087,3.259619,0.9913,0,0.028358685
1661,20.68,14.95%,0.0084,17.58834,0.9916,0,0.147742056
1662,21.8,2.49%,0.0056,21.25718,0.9944,0,0.119040208
1663,19.75,17.03%,0.0009,16.386575,0.9991,0,0.014747918
1664,20.45,3.43%,0.0001,19.748565,0.9999,0,0.001974857
1665,8.53,32.96%,0.0045,5.718512,0.9955,0,0.025733304
1666,0.07,7.02%,0.0083,0.065086,0.9917,0,0.000540214
1667,15.91,26.35%,0.0005,11.717715,0.9995,0,0.005858858
1668,5.94,7.68%,0.0019,5.483808,0.9981,0,0.010419235
1669,17.57,5.03%,0.0073,16.686229,0.9927,0,0.121809472
1670,16.99,23.63%,0.0087,12.975263,0.9913,0,0.112884788
1671,9.98,34.40%,0.0021,6.54688,0.9979,0,0.013748448
1672,11.75,18.26%,0.0056,9.60445,0.9944,0,0.05378492
1673,7.39,2.58%,0.0025,7.199338,0.9975,0,0.017998345
1674,7.09,21.18%,0.0012,5.588338,0.9988,0,0.006706006
1675,13.64,39.04%,0.007,8.314944,0.993,0,0.058204608
1676,15.31,28.62%,0.0017,10.928278,0.9983,0,0.018578073
1677,9.35,36.16%,0.0012,5.96904,0.9988,0,0.007162848
1678,17.33,38.17%,0.0013,10.715139,0.9987,0,0.013929681
1679,10.35,30.45%,0.0031,7.198425,0.9969,0,0.022315118
1680,12.14,25.21%,0.0045,9.079506,0.9955,0,0.040857777
1681,12.49,19.63%,0.0021,10.038213,0.9979,0,0.021080247
1682,23.9,11.58%,0.0017,21.13238,0.9983,0,0.035925046
1683,18.48,10.32%,0.0011,16.572864,0.9989,0,0.01823015
1684,1.56,27.69%,0.0076,1.128036,0.9924,0,0.008573074
1685,6.04,18.21%,0,4.940116,1,0,0
1686,22.04,25.26%,0.0003,16.472696,0.9997,0,0.004941809
1687,19.31,23.59%,0.0071,14.754771,0.9929,0,0.104758874
1688,7.4,39.15%,0.006,4.5029,0.994,0,0.0270174
1689,7.68,4.46%,0.0067,7.337472,0.9933,0,0.049161062
1690,6.53,18.98%,0.0003,5.290606,0.9997,0,0.001587182
1691,21.03,7.77%,0.0027,19.395969,0.9973,0,0.052369116
1692,4.49,24.27%,0.0024,3.400277,0.9976,0,0.008160665
1693,6.54,2.78%,0.005,6.358188,0.995,0,0.03179094
1694,9.12,38.64%,0.0003,5.596032,0.9997,0,0.00167881
1695,21.35,15.70%,0.0083,17.99805,0.9917,0,0.149383815
1696,3.84,25.61%,0.004,2.856576,0.996,0,0.011426304
1697,13.8,26.25%,0.0048,10.1775,0.9952,0,0.048852
1698,24.14,21.23%,0.0005,19.015078,0.9995,0,0.009507539
1699,14.92,30.56%,0.0017,10.360448,0.9983,0,0.017612762
1700,14.32,21.26%,0.0075,11.275568,0.9925,0,0.08456676
1701,18.32,37.18%,0.0055,11.508624,0.9945,0,0.063297432
1702,10.55,22.93%,0.005,8.130885,0.995,0,0.040654425
1703,6.29,8.76%,0.0077,5.738996,0.9923,0,0.044190269
1704,22.9,13.68%,0.0012,19.76728,0.9988,0,0.023720736
1705,2.39,7.70%,0.0017,2.20597,0.9983,0,0.003750149
1706,22.49,37.38%,0.0085,14.083238,0.9915,0,0.119707523
1707,5.84,39.60%,0.0071,3.52736,0.9929,0,0.025044256
1708,17.52,26.17%,0.0099,12.935016,0.9901,0,0.128056658
1709,17.62,30.30%,0.003,12.28114,0.997,0,0.03684342
1710,6.37,38.91%,0.0013,3.891433,0.9987,0,0.005058863
1711,22.04,8.01%,0.0078,20.274596,0.9922,0,0.158141849
1712,15.26,6.74%,0.0081,14.231476,0.9919,0,0.115274956
1713,14.36,5.28%,0.0029,13.601792,0.9971,0,0.039445197
1714,13.23,31.72%,0.0011,9.033444,0.9989,0,0.009936788
1715,20.41,39.86%,0.0045,12.274574,0.9955,0,0.055235583
1716,1.4,30.98%,0.0045,0.96628,0.9955,0,0.00434826
1717,12.48,1.88%,0.0095,12.245376,0.9905,0,0.116331072
1718,16.99,27.49%,0.0051,12.319449,0.9949,0,0.06282919
1719,1.55,13.65%,0.0058,1.338425,0.9942,0,0.007762865
1720,5.99,32.01%,0.0026,4.072601,0.9974,0,0.010588763
1721,18.62,1.42%,0.0042,18.355596,0.9958,0,0.077093503
1722,21.88,29.03%,0.0058,15.528236,0.9942,0,0.090063769
1723,23.59,13.98%,0.0048,20.292118,0.9952,0,0.097402166
1724,21.4,22.02%,0.0068,16.68772,0.9932,0,0.113476496
1725,11.63,37.85%,0.0067,7.228045,0.9933,0,0.048427902
1726,12.41,0.62%,0.0054,12.333058,0.9946,0,0.066598513
1727,10.42,39.74%,0.0083,6.279092,0.9917,0,0.052116464
1728,5.08,18.96%,0.0071,4.116832,0.9929,0,0.029229507
1729,10.44,16.38%,0.0087,8.729928,0.9913,0,0.075950374
1730,20.92,8.86%,0.0042,19.066488,0.9958,0,0.08007925
1731,4.52,19.74%,0.0012,3.627752,0.9988,0,0.004353302
1732,9.17,37.63%,0.0054,5.719329,0.9946,0,0.030884377
1733,15.92,19.47%,0.0064,12.820376,0.9936,0,0.082050406
1734,0.4,39.45%,0.0057,0.2422,0.9943,0,0.00138054
1735,15.01,13.79%,0.0081,12.940121,0.9919,0,0.10481498
1736,10.63,6.77%,0.0036,9.910349,0.9964,0,0.035677256
1737,3.32,36.47%,0.0091,2.109196,0.9909,0,0.019193684
1738,16.02,34.45%,0.0063,10.50111,0.9937,0,0.066156993
1739,11.78,7.73%,0.0045,10.869406,0.9955,0,0.048912327
1740,15.35,36.14%,0.0055,9.80251,0.9945,0,0.053913805
1741,22.95,29.03%,0.0027,16.287615,0.9973,0,0.043976561
1742,10.39,31.70%,0.0027,7.09637,0.9973,0,0.019160199
1743,10.84,31.02%,0.0019,7.477432,0.9981,0,0.014207121
1744,2.66,5.64%,0.0044,2.509976,0.9956,0,0.011043894
1745,11.08,31.77%,0.0027,7.559884,0.9973,0,0.020411687
1746,16.71,6.95%,0.0008,15.548655,0.9992,0,0.012438924
1747,11.7,15.97%,0.0043,9.83151,0.9957,0,0.042275493
1748,0.71,4.77%,0.0071,0.676133,0.9929,0,0.004800544
1749,9.05,3.63%,0.0088,8.721485,0.9912,0,0.076749068
1750,15.16,5.20%,0.0035,14.37168,0.9965,0,0.05030088
1751,2.79,22.55%,0.0078,2.160855,0.9922,0,0.016854669
1752,23.88,28.09%,0.0015,17.172108,0.9985,0,0.025758162
1753,1.33,29.49%,0.0064,0.937783,0.9936,0,0.006001811
1754,1.27,11.42%,0.0075,1.124966,0.9925,0,0.008437245
1755,18.9,16.63%,0.0081,15.75693,0.9919,0,0.127631133
1756,14.84,22.28%,0.0085,11.533648,0.9915,0,0.098036008
1757,15.79,25.65%,0.0058,11.739865,0.9942,0,0.068091217
1758,8.38,14.24%,0.0027,7.186688,0.9973,0,0.019404058
1759,1.4,3.16%,0.0097,1.35576,0.9903,0,0.013150872
1760,11.99,14.16%,0.002,10.292216,0.998,0,0.020584432
1761,11.22,0.84%,0.009,11.125752,0.991,0,0.100131768
1762,22.42,33.14%,0.0005,14.990012,0.9995,0,0.007495006
1763,15.29,19.08%,0.0011,12.372668,0.9989,0,0.013609935
1764,23.16,23.98%,0.0004,17.606232,0.9996,0,0.007042493
1765,17.4,7.92%,0.0009,16.02192,0.9991,0,0.014419728
1766,0.54,34.81%,0.0064,0.352026,0.9936,0,0.002252966
1767,20.17,30.39%,0.0062,14.040337,0.9938,0,0.087050089
1768,23.3,22.79%,0.0045,17.98993,0.9955,0,0.080954685
1769,11.69,11.17%,0.0063,10.384227,0.9937,0,0.06542063
1770,22.23,18.05%,0.0011,18.217485,0.9989,0,0.020039234
1771,5.45,12.00%,0.0009,4.796,0.9991,0,0.0043164
1772,12.92,38.68%,0.0098,7.922544,0.9902,0,0.077640931
1773,10.48,15.12%,0.0092,8.895424,0.9908,0,0.081837901
1774,22.66,23.82%,0.0019,17.262388,0.9981,0,0.032798537
1775,18.42,35.77%,0.0037,11.831166,0.9963,0,0.043775314
1776,0.33,3.98%,0.0013,0.316866,0.9987,0,0.000411926
1777,5.3,34.54%,0.0004,3.46938,0.9996,0,0.001387752
1778,18.79,5.50%,0.0088,17.75655,0.9912,0,0.15625764
1779,0.63,15.40%,0.0019,0.53298,0.9981,0,0.001012662
1780,16.12,27.90%,0.0024,11.62252,0.9976,0,0.027894048
1781,22.02,35.79%,0.0093,14.139042,0.9907,0,0.131493091
1782,10.07,12.79%,0.0038,8.782047,0.9962,0,0.033371779
1783,11.04,7.34%,0.0056,10.229664,0.9944,0,0.057286118
1784,8.55,26.56%,0.0006,6.27912,0.9994,0,0.003767472
1785,11.39,12.66%,0.0077,9.948026,0.9923,0,0.0765998
1786,17.09,32.50%,0.0062,11.53575,0.9938,0,0.07152165
1787,9.43,4.96%,0.0075,8.962272,0.9925,0,0.06721704
1788,14,23.00%,0.0097,10.78,0.9903,0,0.104566
1789,21.29,24.58%,0.0021,16.056918,0.9979,0,0.033719528
1790,6.56,37.29%,0.0085,4.113776,0.9915,0,0.034967096
1791,14.23,22.75%,0.0069,10.992675,0.9931,0,0.075849458
1792,24.24,16.13%,0.0011,20.330088,0.9989,0,0.022363097
1793,9.12,15.54%,0.0071,7.702752,0.9929,0,0.054689539
1794,12.98,26.27%,0.0038,9.570154,0.9962,0,0.036366585
1795,0.27,37.79%,0.0092,0.167967,0.9908,0,0.001545296
1796,14.7,15.41%,0.0018,12.43473,0.9982,0,0.022382514
1797,10.18,6.47%,0.0013,9.521354,0.9987,0,0.01237776
1798,8.51,31.23%,0.0007,5.852327,0.9993,0,0.004096629
1799,5.32,31.60%,0.0019,3.63888,0.9981,0,0.006913872
1800,4.28,39.09%,0.0057,2.606948,0.9943,0,0.014859604
1801,0.12,35.61%,0.0037,0.077268,0.9963,0,0.000285892
1802,7.71,30.82%,0.0006,5.333778,0.9994,0,0.003200267
1803,15.41,30.18%,0.0072,10.759262,0.9928,0,0.077466686
